site_path_timestamp,floor,x,y
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000000009,0,87.95479583740234,102.60563657335183
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000009017,0,84.38588104248046,102.04872131192137
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000015326,0,86.24085693359375,104.73201675252221
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000018763,0,87.29463806152344,105.51707609781442
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000022328,0,85.55325365066528,105.79361107072047
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000029946,0,76.60935974121094,109.46684265136719
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000040283,0,85.91858761127179,104.87149815670443
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000051343,0,77.65052619347206,106.26179504784885
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000064014,0,85.56274766188402,100.63302376372526
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000000012,0,84.35459899902344,14.532645225524902
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000005748,0,85.92053900824652,15.707390231427068
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000014654,0,84.51465861002605,16.869873257786896
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000019316,0,81.03159501817491,15.302760782587736
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000027660,0,85.54358564104352,19.01177270138919
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000034445,0,87.54381660793139,18.026939134801555
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000045583,0,85.85748460557726,14.058279204492775
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000058977,0,84.89448547363281,18.96851348876953
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,-1,159.86143493652344,135.42161579264211
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,-1,158.71548461914062,146.9496919039011
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,-1,157.6722869873047,152.1630859375
