site_path_timestamp,floor,x,y
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000000009,0,90.4917984008789,103.02254484416335
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000009017,0,84.59506174723307,102.18217315562651
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000015326,0,86.64192810058594,105.3224052398582
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000018763,0,87.59846801757813,106.37382047111169
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000022328,0,86.25286531448364,106.56330736310602
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000029946,0,76.56172943115234,109.79349517822266
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000040283,0,87.5119382418119,106.6758560772276
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000051343,0,79.08904618483324,107.25980670639305
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000064014,0,86.03078225942758,100.02839584502642
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000000012,0,83.36906433105469,14.67784309387207
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000005748,0,86.41585116916232,14.649337769092167
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000014654,0,83.66275193956163,16.622328444690538
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000019316,0,80.5846939086914,14.54754955853241
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000027660,0,84.87352534702846,18.130480628894603
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000034445,0,87.64760191544242,16.805732223350148
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000045583,0,86.09456380208333,13.914708401043764
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000058977,0,83.63109588623047,19.2221736907959
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,-1,158.69952392578125,136.70062270207563
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,-1,158.51878356933594,145.71475225058384
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,-1,158.17283630371094,148.4467315673828
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000027199,-1,159.07963752746582,157.29527489836983
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000033660,-1,160.1851043701172,167.59225463867188
