site_path_timestamp,floor,x,y
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000000009,0,87.05311,103.14859
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000009017,0,83.096756,104.42779
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000015326,0,84.556564,102.58005
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000018763,0,86.83383,105.47766
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000022328,0,84.198166,108.56944
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000029946,0,78.585175,107.92052
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000040283,0,84.115776,106.88149
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000051343,0,79.76883,105.74727
5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000064014,0,84.661705,102.52855
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000000012,0,82.16378,14.640383
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000005748,0,87.9765,15.87292
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000014654,0,85.35048,16.737309
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000019316,0,81.71611,14.241971
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000027660,0,84.87001,18.138708
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000034445,0,87.687256,16.18548
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000045583,0,85.781906,14.3282175
5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000058977,0,84.827,20.122631
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,-1,159.27997,138.83347
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,-1,158.91489,145.3929
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,-1,158.59113,150.19945
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000027199,-1,160.95445,157.50716
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000033660,-1,160.42975,168.04922
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000043214,-1,166.18214,166.2932
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000053320,-1,159.77762,157.28674
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000059671,-1,159.83691,150.34154
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000064822,-1,158.4177,145.89076
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000072018,-1,159.61847,141.20818
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000084546,-1,158.71185,144.81686
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000094486,-1,157.16426,150.17346
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000103491,-1,158.26366,154.73987
5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000112216,-1,161.66306,163.32318
5a0546857ecc773753327266_146035943a1482883ed98570_0000000000011,-1,111.42014,142.33049
5a0546857ecc773753327266_146035943a1482883ed98570_0000000004535,-1,112.62261,138.45024
5a0546857ecc773753327266_146035943a1482883ed98570_0000000011498,-1,113.98504,136.57475
5a0546857ecc773753327266_146035943a1482883ed98570_0000000019249,-1,116.078255,129.68478
5a0546857ecc773753327266_146035943a1482883ed98570_0000000026531,-1,116.8567,129.55
5a0546857ecc773753327266_146035943a1482883ed98570_0000000035158,-1,115.767204,132.69264
5a0546857ecc773753327266_146035943a1482883ed98570_0000000040966,-1,114.25153,136.37225
5a0546857ecc773753327266_146035943a1482883ed98570_0000000049330,-1,112.94457,137.94354
5a0546857ecc773753327266_146035943a1482883ed98570_0000000055485,-1,112.6747,138.95459
5a0546857ecc773753327266_146035943a1482883ed98570_0000000063866,-1,110.363884,145.25354
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000000009,0,89.049,58.09514
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000012833,0,87.21908,52.88797
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000021759,0,89.71735,59.737938
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000035154,0,87.81929,51.608627
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000043072,0,86.08284,54.798054
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000050947,0,86.1504,60.971207
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000064333,0,85.48157,54.6478
5a0546857ecc773753327266_1ef2771dfea25d508142ba06_0000000071770,0,89.26233,50.779964
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000000010,0,48.919075,114.431755
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000006961,0,54.561325,111.66363
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000013051,0,59.978886,109.20195
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000019370,0,54.440964,112.03689
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000027427,0,53.566925,114.86826
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000033372,0,51.06468,114.168625
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000046249,0,47.180824,114.26169
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000055236,0,51.80739,108.79375
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000062606,0,60.419098,109.04672
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000071831,0,58.068935,108.83842
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000080815,0,53.803066,109.696526
5a0546857ecc773753327266_3506b3b626f494b0f0b934ca_0000000087232,0,47.357536,109.26672
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000000009,0,17.059423,120.20577
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000007022,0,20.452337,122.502335
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000012073,0,25.492647,123.90161
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000016344,0,29.190838,119.62981
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000021335,0,34.0066,118.51128
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000029226,0,30.45329,119.573166
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000035850,0,26.516226,120.941574
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000043355,0,24.089527,124.20039
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000049672,0,24.063473,124.723755
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000057036,0,21.69994,121.468925
5a0546857ecc773753327266_3e0aebb66ef39150bbc27c24_0000000061607,0,20.912262,121.587654
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000000010,0,89.723434,106.163826
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000006597,0,102.11112,109.73559
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000012043,0,111.19198,114.20828
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000016388,0,111.99736,115.341675
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000022345,0,111.822266,113.052505
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000029746,0,109.870026,113.065704
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000041215,0,109.75351,113.77614
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000057771,0,110.176094,113.17885
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000065216,0,110.51835,114.075676
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000074453,0,110.49359,112.42828
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000080138,0,110.912575,113.85808
5a0546857ecc773753327266_3e1d46017fbfcc8136bd1e9b_0000000088849,0,110.415306,109.88044
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000000012,0,99.57646,79.93978
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000010362,0,97.280716,72.80012
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000016791,0,91.02228,64.329834
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000021695,0,90.39751,64.887886
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000035250,0,91.80802,68.18727
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000042252,0,92.046555,71.109955
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000050072,0,93.57873,75.52357
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000057094,0,95.22606,78.38238
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000063488,0,98.25265,82.77624
5a0546857ecc773753327266_412da1891c4780f6f0f7f4bc_0000000072612,0,99.69485,77.07797
5a0546857ecc773753327266_6d89334316127640cff99800_0000000000012,-1,118.77065,108.18509
5a0546857ecc773753327266_6d89334316127640cff99800_0000000008432,-1,118.46213,107.57026
5a0546857ecc773753327266_6d89334316127640cff99800_0000000017044,-1,119.5528,112.46175
5a0546857ecc773753327266_6d89334316127640cff99800_0000000027938,-1,118.40311,114.06851
5a0546857ecc773753327266_6d89334316127640cff99800_0000000034373,-1,119.688705,117.5269
5a0546857ecc773753327266_6d89334316127640cff99800_0000000043333,-1,120.89693,114.45575
5a0546857ecc773753327266_6d89334316127640cff99800_0000000050678,-1,120.680984,110.134026
5a0546857ecc773753327266_6d89334316127640cff99800_0000000059402,-1,123.42024,113.870255
5a0546857ecc773753327266_6d89334316127640cff99800_0000000069531,-1,121.500595,115.36171
5a0546857ecc773753327266_6d89334316127640cff99800_0000000075470,-1,123.098694,117.332405
5a0546857ecc773753327266_6d89334316127640cff99800_0000000081216,-1,125.01893,116.95256
5a0546857ecc773753327266_6d89334316127640cff99800_0000000086153,-1,127.173,114.795715
5a0546857ecc773753327266_6d89334316127640cff99800_0000000092213,-1,126.8539,114.84843
5a0546857ecc773753327266_6d89334316127640cff99800_0000000099654,-1,125.98652,114.831665
5a0546857ecc773753327266_6d89334316127640cff99800_0000000105397,-1,123.76989,113.94756
5a0546857ecc773753327266_6d89334316127640cff99800_0000000111847,-1,125.4061,115.345474
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000000014,-1,160.15651,124.05684
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000006406,-1,160.96179,121.850075
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000011418,-1,163.15555,128.12529
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000019036,-1,160.42503,138.76913
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000023914,-1,159.39537,139.03975
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000030256,-1,160.40302,138.16986
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000036389,-1,160.74237,135.42986
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000044694,-1,161.82948,127.46628
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000051411,-1,160.47113,118.35861
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000055875,-1,160.62216,115.6358
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000059765,-1,160.20557,113.36339
5a0546857ecc773753327266_72963a8c7eb520c56f88a536_0000000065408,-1,158.35542,117.58169
5a0546857ecc773753327266_7d2d723a30cce824aad9915b_0000000000009,-1,157.97461,116.06213
5a0546857ecc773753327266_7d2d723a30cce824aad9915b_0000000006159,-1,158.61092,119.40779
5a0546857ecc773753327266_7d2d723a30cce824aad9915b_0000000011244,-1,159.03246,120.73179
5a0546857ecc773753327266_7d2d723a30cce824aad9915b_0000000019681,-1,161.00351,124.01701
5a0546857ecc773753327266_7d2d723a30cce824aad9915b_0000000026834,-1,161.68472,129.60376
5a0546857ecc773753327266_7d2d723a30cce824aad9915b_0000000034295,-1,162.15833,126.39209
5a0546857ecc773753327266_7d2d723a30cce824aad9915b_0000000040360,-1,163.09427,128.3026
5a0546857ecc773753327266_7d2d723a30cce824aad9915b_0000000048661,-1,162.36847,136.27072
